Gene	Mean	Variance	CV2
Lct	NA	0.013	NA
Lctl	NA	0.002	NA
Ldb1	NA	0.075	NA
Ldb2	NA	0.039	NA
Ldb3	NA	0.015	NA
Ldha	NA	0.098	NA
Ldhb	NA	0.179	NA
Ldhd	NA	0.039	NA
Ldlr	NA	0.025	NA
Ldlrad3	NA	0.01	NA
Ldlrad4	NA	0.015	NA
Ldlrap1	NA	0.006	NA
Ldoc1	NA	0.001	NA
Ldoc1l	NA	0.015	NA
Lect1	NA	0.002	NA
Lef1	NA	0.029	NA
Lefty1	NA	0.004	NA
Lekr1	NA	0.039	NA
Lemd1	NA	0.001	NA
Lemd2	NA	0.043	NA
Lemd3	NA	0.044	NA
Leng1	NA	0.013	NA
Leng8	NA	0.318	NA
Leng9	NA	0.009	NA
Leo1	NA	0.031	NA
Lepr	NA	0.008	NA
Lepre1	NA	0.023	NA
Leprel1	NA	0.007	NA
Leprel2	NA	0.068	NA
Leprel4	NA	0.023	NA
Leprot	NA	0.038	NA
Leprotl1	NA	0.068	NA
Letm1	NA	0.067	NA
Letm2	NA	0.103	NA
Letmd1	NA	0.068	NA
Lfng	NA	0.042	NA
Lgals1	NA	0.015	NA
Lgals12	NA	0.002	NA
Lgals3	NA	0.001	NA
Lgals3bp	NA	0.01	NA
Lgals4	NA	0.016	NA
Lgals7	NA	0.001	NA
Lgals8	NA	0.049	NA
Lgals9	NA	0.006	NA
Lgalsl	NA	0.05	NA
Lgi1	NA	0.195	NA
Lgi2	NA	0.016	NA
Lgi3	NA	0.106	NA
Lgi4	NA	0.038	NA
Lgmn	NA	0.071	NA
Lgr4	NA	0.04	NA
Lgr5	NA	0.007	NA
Lgr6	NA	0.003	NA
Lhb	NA	0.001	NA
Lhfp	NA	0.017	NA
Lhfpl2	NA	0.02	NA
Lhfpl4	NA	0.071	NA
Lhfpl5	NA	0.004	NA
Lhpp	NA	0.004	NA
Lhx1	NA	0.004	NA
Lhx2	NA	0.024	NA
Lhx5	NA	0.001	NA
Lhx6	NA	0.004	NA
Lhx9	NA	0.017	NA
Lias	NA	0.086	NA
Lif	NA	0.001	NA
Lifr	NA	0.057	NA
Lig1	NA	0.023	NA
Lig3	NA	0.06	NA
Lig4	NA	0.011	NA
Lima1	NA	0.027	NA
Limch1	NA	0.197	NA
Limd1	NA	0.019	NA
Limd2	NA	0.053	NA
Limk1	NA	0.041	NA
Limk2	NA	0.111	NA
Lims1	NA	0.035	NA
Lims2	NA	0.013	NA
Lin28b	NA	0.018	NA
Lin37	NA	0.046	NA
Lin52	NA	0.011	NA
Lin54	NA	0.02	NA
Lin7a	NA	0.063	NA
Lin7b	NA	0.194	NA
Lin7c	NA	0.075	NA
Lin9	NA	0.008	NA
Lingo1	NA	0.115	NA
Lingo2	NA	0.066	NA
Lingo3	NA	0.023	NA
Lingo4	NA	0.002	NA
Lins	NA	0.029	NA
Lipa	NA	0.033	NA
Lipe	NA	0.008	NA
Lipg	NA	0.005	NA
Liph	NA	0.001	NA
Lipo1	NA	0.008	NA
Lipt1	NA	0.006	NA
Lipt2	NA	0.005	NA
Litaf	NA	0.036	NA
Lix1	NA	0.03	NA
Lix1l	NA	0.004	NA
Llgl1	NA	0.039	NA
Llgl2	NA	0.003	NA
Llph	NA	0.026	NA
Lman1	NA	0.092	NA
Lman2	NA	0.044	NA
Lman2l	NA	0.061	NA
Lmbr1	NA	0.039	NA
Lmbr1l	NA	0.025	NA
Lmbrd1	NA	0.14	NA
Lmbrd2	NA	0.039	NA
Lmcd1	NA	0.004	NA
Lmf1	NA	0.023	NA
Lmf2	NA	0.017	NA
Lmln	NA	0.034	NA
Lmna	NA	0.057	NA
Lmnb1	NA	0.011	NA
Lmnb2	NA	0.028	NA
Lmo1	NA	0.015	NA
Lmo2	NA	0.016	NA
Lmo3	NA	0.067	NA
Lmo4	NA	0.272	NA
Lmo7	NA	0.217	NA
Lmod1	NA	0.002	NA
Lmod3	NA	0.001	NA
Lmtk2	NA	0.053	NA
Lmtk3	NA	0.116	NA
Lnp	NA	0.173	NA
Lnpep	NA	0.043	NA
Lnx1	NA	0.064	NA
Lnx2	NA	0.006	NA
Loh12cr1	NA	0.018	NA
Lonp1	NA	0.086	NA
Lonp2	NA	0.06	NA
Lonrf1	NA	0.036	NA
Lonrf2	NA	0.043	NA
Lonrf3	NA	0.008	NA
Lor	NA	0.008	NA
Loxhd1	NA	0.001	NA
Loxl1	NA	0.008	NA
Loxl3	NA	0.009	NA
Lpar1	NA	0.017	NA
Lpar2	NA	0.001	NA
Lpar4	NA	0.013	NA
Lpar6	NA	0.023	NA
Lpcat1	NA	0.062	NA
Lpcat2	NA	0.028	NA
Lpcat3	NA	0.033	NA
Lpcat4	NA	0.101	NA
Lpgat1	NA	0.179	NA
Lphn1	NA	0.221	NA
Lphn2	NA	0.171	NA
Lphn3	NA	0.189	NA
Lpin1	NA	0.05	NA
Lpin2	NA	0.138	NA
Lpin3	NA	0.001	NA
Lpl	NA	0.019	NA
Lpp	NA	0.032	NA
Lpxn	NA	0.002	NA
Lrba	NA	0.022	NA
Lrch1	NA	0.043	NA
Lrch2	NA	0.053	NA
Lrch3	NA	0.125	NA
Lrdd	NA	0.002	NA
Lrfn1	NA	0.004	NA
Lrfn2	NA	0.021	NA
Lrfn3	NA	0.007	NA
Lrfn4	NA	0.026	NA
Lrfn5	NA	0.136	NA
Lrg1	NA	0.002	NA
Lrguk	NA	0.002	NA
Lrif1	NA	0.066	NA
Lrig1	NA	0.018	NA
Lrig2	NA	0.052	NA
Lrig3	NA	0.004	NA
Lrmp	NA	0.003	NA
Lrp1	NA	0.147	NA
Lrp10	NA	0.023	NA
Lrp11	NA	0.1	NA
Lrp12	NA	0.024	NA
Lrp1b	NA	0.124	NA
Lrp2	NA	0.001	NA
Lrp2bp	NA	0.001	NA
Lrp3	NA	0.05	NA
Lrp4	NA	0.022	NA
Lrp5	NA	0.004	NA
Lrp6	NA	0.072	NA
Lrp8	NA	0.099	NA
Lrpap1	NA	0.123	NA
Lrpprc	NA	0.106	NA
Lrrc1	NA	0.01	NA
Lrrc10	NA	0.001	NA
Lrrc10b	NA	0.007	NA
Lrrc14	NA	0.024	NA
Lrrc14b	NA	0.001	NA
Lrrc16a	NA	0.048	NA
Lrrc16b	NA	0.069	NA
Lrrc17	NA	0.005	NA
Lrrc18	NA	0.001	NA
Lrrc19	NA	0	NA
Lrrc2	NA	0.007	NA
Lrrc20	NA	0.009	NA
Lrrc23	NA	0.007	NA
Lrrc24	NA	0.021	NA
Lrrc27	NA	0.006	NA
Lrrc28	NA	0.014	NA
Lrrc29	NA	0.004	NA
Lrrc3	NA	0.008	NA
Lrrc32	NA	0.002	NA
Lrrc34	NA	0.001	NA
Lrrc36	NA	0.006	NA
Lrrc38	NA	0.002	NA
Lrrc39	NA	0.005	NA
Lrrc3b	NA	0.012	NA
Lrrc4	NA	0.044	NA
Lrrc40	NA	0.035	NA
Lrrc41	NA	0.027	NA
Lrrc42	NA	0.032	NA
Lrrc43	NA	0.005	NA
Lrrc45	NA	0.18	NA
Lrrc46	NA	0.002	NA
Lrrc47	NA	0.028	NA
Lrrc48	NA	0.013	NA
Lrrc49	NA	0.077	NA
Lrrc4b	NA	0.04	NA
Lrrc4c	NA	0.117	NA
Lrrc51	NA	0.014	NA
Lrrc55	NA	0.016	NA
Lrrc56	NA	0.008	NA
Lrrc57	NA	0.076	NA
Lrrc58	NA	0.11	NA
Lrrc59	NA	0.017	NA
Lrrc6	NA	0.015	NA
Lrrc61	NA	0.006	NA
Lrrc7	NA	0.105	NA
Lrrc70	NA	0.002	NA
Lrrc71	NA	0.004	NA
Lrrc73	NA	0.037	NA
Lrrc8a	NA	0.025	NA
LRRC8A	NA	0.001	NA
Lrrc8b	NA	0.005	NA
Lrrc8c	NA	0.029	NA
Lrrc8d	NA	0.011	NA
Lrrc9	NA	0.008	NA
Lrrcc1	NA	0.165	NA
Lrrd1	NA	0.003	NA
Lrrfip1	NA	0.228	NA
Lrrfip2	NA	0.093	NA
Lrriq1	NA	0.05	NA
Lrriq3	NA	0.001	NA
Lrrk1	NA	0.005	NA
Lrrk2	NA	0.045	NA
Lrrn1	NA	0.031	NA
Lrrn2	NA	0.069	NA
Lrrn3	NA	0.05	NA
Lrrn4	NA	0.001	NA
Lrrn4cl	NA	0.001	NA
Lrrtm1	NA	0.071	NA
Lrrtm2	NA	0.102	NA
Lrrtm3	NA	0.049	NA
Lrrtm4	NA	0.056	NA
Lrsam1	NA	0.022	NA
Lrtm1	NA	0.008	NA
Lrtm2	NA	0.04	NA
Lrwd1	NA	0.025	NA
Lsamp	NA	0.229	NA
Lsg1	NA	0.056	NA
Lsm1	NA	0.026	NA
Lsm10	NA	0.011	NA
Lsm11	NA	0.018	NA
Lsm12	NA	0.031	NA
Lsm14a	NA	0.044	NA
Lsm14b	NA	0.048	NA
Lsm2	NA	0.017	NA
Lsm3	NA	0.024	NA
Lsm4	NA	0.034	NA
Lsm5	NA	0.015	NA
Lsm6	NA	0.029	NA
Lsm7	NA	0.071	NA
Lsmd1	NA	0.033	NA
Lsmem1	NA	0.001	NA
Lsp1	NA	0.003	NA
Lsr	NA	0.015	NA
Lss	NA	0.066	NA
Lst1	NA	0.002	NA
Lta	NA	0	NA
Lta4h	NA	0.061	NA
Ltb	NA	0	NA
Ltbp1	NA	0.006	NA
Ltbp2	NA	0.001	NA
Ltbp3	NA	0.036	NA
Ltbp4	NA	0.089	NA
Ltbr	NA	0.005	NA
Ltc4s	NA	0.008	NA
Ltk	NA	0.061	NA
Ltn1	NA	0.085	NA
Ltv1	NA	0.032	NA
Luc7l	NA	0.223	NA
Luc7l2	NA	0.587	NA
Luc7l3	NA	0.58	NA
Lum	NA	0.006	NA
Lurap1	NA	0.012	NA
Lurap1l	NA	0.021	NA
Luzp1	NA	0.12	NA
Luzp2	NA	0.037	NA
Lxn	NA	0.021	NA
Ly6a	NA	0.1	NA
Ly6c1	NA	0.161	NA
Ly6c2	NA	0.006	NA
Ly6d	NA	0.001	NA
Ly6e	NA	0.139	NA
Ly6f	NA	0	NA
Ly6g5b	NA	0.002	NA
Ly6g6e	NA	0.003	NA
Ly6h	NA	0.187	NA
Ly75	NA	0.003	NA
Ly86	NA	0.005	NA
Ly96	NA	0.003	NA
Lyar	NA	0.036	NA
Lyl1	NA	0.003	NA
Lyn	NA	0.005	NA
Lynx1	NA	0.058	NA
Lypd1	NA	0.046	NA
Lypd6	NA	0.009	NA
Lypd6b	NA	0.009	NA
Lypla1	NA	0.04	NA
Lypla2	NA	0.086	NA
Lyplal1	NA	0.004	NA
Lyrm1	NA	0.016	NA
Lyrm2	NA	0.022	NA
Lyrm4	NA	0.016	NA
Lyrm5	NA	0.025	NA
Lyrm7	NA	0.022	NA
Lyrm9	NA	0.082	NA
Lysmd1	NA	0.006	NA
Lysmd2	NA	0.045	NA
Lysmd3	NA	0.025	NA
Lysmd4	NA	0.025	NA
Lyst	NA	0.134	NA
Lyve1	NA	0.001	NA
Lyz2	NA	0.003	NA
Lyzl4	NA	0.001	NA
Lzic	NA	0.012	NA
Lztfl1	NA	0.161	NA
Lztr1	NA	0.118	NA
Lzts1	NA	0.06	NA
Lzts2	NA	0.036	NA
Lzts3	NA	0.101	NA
M5C1000I18Rik	NA	0.013	NA
M6pr	NA	0.076	NA
Maats1	NA	0.004	NA
Mab21l1	NA	0.002	NA
Mab21l2	NA	0.001	NA
Macc1	NA	0.001	NA
Macf1	NA	0.51	NA
Macrod1	NA	0.006	NA
Macrod2	NA	0.06	NA
Mad1l1	NA	0.005	NA
Mad2l1	NA	0.007	NA
Mad2l1bp	NA	0.007	NA
Mad2l2	NA	0.02	NA
Madd	NA	0.151	NA
Maea	NA	0.046	NA
Maf	NA	0.046	NA
Maf1	NA	0.069	NA
Mafb	NA	0.01	NA
Maff	NA	0.003	NA
Mafg	NA	0.121	NA
Mafk	NA	0.007	NA
Mag	NA	0.286	NA
Mageb3	NA	0.001	NA
Maged1	NA	0.25	NA
Maged2	NA	0.033	NA
Magee1	NA	0.055	NA
Magee2	NA	0.003	NA
Mageh1	NA	0.044	NA
Magel2	NA	0.002	NA
Magi1	NA	0.132	NA
Magi2	NA	0.136	NA
Magi3	NA	0.079	NA
Magix	NA	0.001	NA
Magoh	NA	0.026	NA
Magohb	NA	0.012	NA
Magt1	NA	0.047	NA
Mak	NA	0.012	NA
Mak16	NA	0.061	NA
Mal	NA	0.133	NA
Mal2	NA	0.066	NA
Malat1	NA	0.242	NA
Mall	NA	0.001	NA
Malsu1	NA	0.031	NA
Malt1	NA	0.033	NA
Mamdc2	NA	0.002	NA
Mamdc4	NA	0.002	NA
Maml1	NA	0.009	NA
Maml2	NA	0.024	NA
Maml3	NA	0.01	NA
Mamld1	NA	0.022	NA
Mamstr	NA	0.003	NA
Man1a	NA	0.065	NA
Man1a2	NA	0.173	NA
Man1b1	NA	0.067	NA
Man1c1	NA	0.022	NA
Man2a1	NA	0.041	NA
Man2a2	NA	0.12	NA
Man2b1	NA	0.043	NA
Man2b2	NA	0.013	NA
Man2c1	NA	0.091	NA
Manba	NA	0.021	NA
Manbal	NA	0.036	NA
Manea	NA	0.038	NA
Maneal	NA	0.023	NA
Manf	NA	0.048	NA
Mansc1	NA	0.005	NA
Maoa	NA	0.033	NA
Maob	NA	0.011	NA
Map10	NA	0.003	NA
Map1a	NA	0.193	NA
Map1b	NA	0.488	NA
Map1lc3a	NA	0.097	NA
Map1lc3b	NA	0.114	NA
Map1s	NA	0.034	NA
Map2	NA	0.457	NA
Map2k1	NA	0.076	NA
Map2k2	NA	0.132	NA
Map2k3	NA	0.048	NA
Map2k4	NA	0.111	NA
Map2k5	NA	0.033	NA
Map2k6	NA	0.021	NA
Map2k7	NA	0.089	NA
Map3k1	NA	0.023	NA
Map3k10	NA	0.033	NA
Map3k11	NA	0.015	NA
Map3k12	NA	0.111	NA
Map3k13	NA	0.009	NA
Map3k14	NA	0.007	NA
Map3k15	NA	0.005	NA
Map3k19	NA	0.004	NA
Map3k2	NA	0.124	NA
Map3k3	NA	0.036	NA
Map3k5	NA	0.04	NA
Map3k6	NA	0.006	NA
Map3k7	NA	0.069	NA
Map3k7cl	NA	0.001	NA
Map3k8	NA	0.007	NA
Map3k9	NA	0.033	NA
Map4	NA	0.144	NA
Map4k1	NA	0.004	NA
Map4k2	NA	0.09	NA
Map4k3	NA	0.088	NA
Map4k4	NA	0.104	NA
Map4k5	NA	0.113	NA
Map6	NA	0.122	NA
Map6d1	NA	0.027	NA
Map7	NA	0.254	NA
Map7d1	NA	0.189	NA
Map7d2	NA	0.213	NA
Map9	NA	0.199	NA
Mapk1	NA	0.208	NA
Mapk10	NA	0.191	NA
Mapk11	NA	0.066	NA
Mapk12	NA	0.02	NA
Mapk13	NA	0	NA
Mapk14	NA	0.069	NA
Mapk15	NA	0.007	NA
Mapk1ip1	NA	0.07	NA
Mapk1ip1l	NA	0.031	NA
Mapk3	NA	0.039	NA
Mapk4	NA	0.054	NA
Mapk6	NA	0.041	NA
Mapk7	NA	0.042	NA
Mapk8	NA	0.144	NA
Mapk8ip1	NA	0.157	NA
Mapk8ip2	NA	0.098	NA
Mapk8ip3	NA	0.165	NA
Mapk9	NA	0.105	NA
Mapkap1	NA	0.066	NA
Mapkapk2	NA	0.014	NA
Mapkapk3	NA	0.005	NA
Mapkapk5	NA	0.036	NA
Mapkbp1	NA	0.06	NA
Mapre1	NA	0.075	NA
Mapre2	NA	0.078	NA
Mapre3	NA	0.086	NA
Mapt	NA	0.361	NA
Marc1	NA	0.001	NA
Marc2	NA	0.065	NA
March1	NA	0.053	NA
March10	NA	0.003	NA
March11	NA	0.013	NA
March2	NA	0.085	NA
March3	NA	0.001	NA
March4	NA	0.008	NA
March5	NA	0.04	NA
March6	NA	0.074	NA
March7	NA	0.202	NA
March8	NA	0.028	NA
March9	NA	0.007	NA
Marcks	NA	0.097	NA
Marcksl1	NA	0.028	NA
Marf1	NA	0.119	NA
Mark1	NA	0.069	NA
Mark2	NA	0.076	NA
Mark3	NA	0.15	NA
Mark4	NA	0.005	NA
Mars	NA	0.05	NA
Mars2	NA	0.008	NA
Marveld1	NA	0.013	NA
Marveld2	NA	0.005	NA
Marveld3	NA	0.001	NA
Mas1	NA	0.02	NA
Masp1	NA	0.002	NA
Masp2	NA	0.012	NA
Mast1	NA	0.06	NA
Mast2	NA	0.047	NA
Mast3	NA	0.125	NA
Mast4	NA	0.137	NA
Mastl	NA	0.003	NA
Mat2a	NA	0.401	NA
Mat2b	NA	0.092	NA
Matk	NA	0.445	NA
Matn2	NA	0.031	NA
Matn3	NA	0.001	NA
Matn4	NA	0.039	NA
Matr3	NA	0.34	NA
Mau2	NA	0.15	NA
Mavs	NA	0.005	NA
Max	NA	0.059	NA
Maz	NA	0.041	NA
Mb21d1	NA	0.01	NA
Mb21d2	NA	0.005	NA
Mbd1	NA	0.04	NA
Mbd2	NA	0.017	NA
Mbd3	NA	0.04	NA
Mbd4	NA	0.047	NA
Mbd5	NA	0.073	NA
Mbd6	NA	0.075	NA
Mbip	NA	0.105	NA
Mblac1	NA	0.005	NA
Mblac2	NA	0.062	NA
Mbnl1	NA	0.14	NA
Mbnl2	NA	0.282	NA
Mboat1	NA	0.01	NA
Mboat2	NA	0.033	NA
Mboat4	NA	0.001	NA
Mboat7	NA	0.062	NA
Mbp	NA	0.357	NA
Mbtd1	NA	0.136	NA
Mbtps1	NA	0.05	NA
Mbtps2	NA	0.033	NA
Mc1r	NA	0	NA
Mc4r	NA	0.006	NA
Mcam	NA	0.019	NA
Mcat	NA	0.018	NA
Mcc	NA	0.021	NA
Mccc1	NA	0.089	NA
Mccc2	NA	0.043	NA
Mcee	NA	0.017	NA
Mcf2	NA	0.008	NA
Mcf2l	NA	0.192	NA
Mcfd2	NA	0.049	NA
Mchr1	NA	0.013	NA
Mcidas	NA	0.002	NA
Mcl1	NA	0.047	NA
Mcm10	NA	0.004	NA
Mcm2	NA	0.004	NA
Mcm3	NA	0.002	NA
Mcm3ap	NA	0.065	NA
Mcm4	NA	0.009	NA
Mcm5	NA	0.001	NA
Mcm6	NA	0.01	NA
Mcm7	NA	0.023	NA
Mcm8	NA	0.015	NA
Mcm9	NA	0.006	NA
Mcmbp	NA	0.07	NA
Mcmdc2	NA	0.018	NA
Mcoln1	NA	0.108	NA
Mcph1	NA	0.031	NA
Mcrs1	NA	0.035	NA
Mctp1	NA	0.062	NA
Mctp2	NA	0.002	NA
Mcts1	NA	0.064	NA
Mcts2	NA	0.011	NA
Mcu	NA	0.039	NA
Mcur1	NA	0.053	NA
Mdc1	NA	0.028	NA
Mdfi	NA	0.001	NA
Mdfic	NA	0.002	NA
Mdga1	NA	0.015	NA
Mdga2	NA	0.08	NA
Mdh1	NA	0.228	NA
Mdh1b	NA	0.001	NA
Mdh2	NA	0.11	NA
Mdk	NA	0.028	NA
Mdm1	NA	0.025	NA
Mdm2	NA	0.107	NA
Mdm4	NA	0.071	NA
Mdn1	NA	0.135	NA
Mdp1	NA	0.047	NA
Me1	NA	0.014	NA
Me2	NA	0.039	NA
Me3	NA	0.151	NA
Mea1	NA	0.019	NA
Meaf6	NA	0.09	NA
Mecom	NA	0.007	NA
Mecp2	NA	0.076	NA
Mecr	NA	0.047	NA
Med1	NA	0.099	NA
Med10	NA	0.05	NA
Med11	NA	0.01	NA
Med12	NA	0.016	NA
Med12l	NA	0.094	NA
Med13	NA	0.084	NA
Med13l	NA	0.134	NA
Med14	NA	0.03	NA
Med15	NA	0.039	NA
Med16	NA	0.029	NA
Med17	NA	0.038	NA
Med18	NA	0.006	NA
Med19	NA	0.039	NA
Med20	NA	0.045	NA
Med21	NA	0.028	NA
Med22	NA	0.026	NA
Med23	NA	0.052	NA
Med24	NA	0.096	NA
Med25	NA	0.047	NA
Med26	NA	0.006	NA
Med27	NA	0.02	NA
Med28	NA	0.066	NA
Med29	NA	0.008	NA
Med30	NA	0.016	NA
Med31	NA	0.041	NA
Med4	NA	0.045	NA
Med6	NA	0.036	NA
Med7	NA	0.023	NA
Med8	NA	0.043	NA
Med9	NA	0.013	NA
Medag	NA	0.02	NA
Mef2a	NA	0.205	NA
Mef2c	NA	0.342	NA
Mef2d	NA	0.077	NA
Meg3	NA	1.583	NA
MEG3_1	NA	0.003	NA
Megf10	NA	0.017	NA
Megf11	NA	0.027	NA
Megf6	NA	0.004	NA
Megf8	NA	0.057	NA
Megf9	NA	0.11	NA
Mei1	NA	0.013	NA
Mei4	NA	0.004	NA
Meig1	NA	0.004	NA
Meis1	NA	0.008	NA
Meis2	NA	0.102	NA
Meis3	NA	0.069	NA
Melk	NA	0.002	NA
Memo1	NA	0.035	NA
Men1	NA	0.048	NA
Meox1	NA	0.001	NA
Mepce	NA	0.018	NA
Mertk	NA	0.089	NA
Mesdc1	NA	0.018	NA
Mesdc2	NA	0.058	NA
Mesp2	NA	0.001	NA
Mest	NA	0.037	NA
Met	NA	0.003	NA
Metap1	NA	0.044	NA
Metap1d	NA	0.195	NA
Metap2	NA	0.193	NA
Metrn	NA	0.019	NA
Metrnl	NA	0.006	NA
Mettl1	NA	0.033	NA
Mettl10	NA	0.031	NA
Mettl11b	NA	0.001	NA
Mettl13	NA	0.021	NA
Mettl14	NA	0.026	NA
Mettl15	NA	0.003	NA
Mettl16	NA	0.049	NA
Mettl17	NA	0.077	NA
Mettl18	NA	0.004	NA
Mettl2	NA	0.048	NA
Mettl20	NA	0.006	NA
Mettl21a	NA	0.03	NA
Mettl21b	NA	0.001	NA
Mettl21c	NA	0.001	NA
Mettl21d	NA	0.02	NA
Mettl22	NA	0.021	NA
Mettl23	NA	0.067	NA
Mettl24	NA	0.002	NA
Mettl25	NA	0.012	NA
Mettl3	NA	0.056	NA
Mettl4	NA	0.008	NA
Mettl5	NA	0.049	NA
Mettl6	NA	0.042	NA
Mettl7a1	NA	0.076	NA
Mettl7a3	NA	0.002	NA
Mettl8	NA	0.03	NA
Mettl9	NA	0.035	NA
Mex3a	NA	0.007	NA
Mex3b	NA	0.032	NA
Mex3c	NA	0.014	NA
Mex3d	NA	0.008	NA
Mfap1a	NA	0.025	NA
Mfap1b	NA	0.019	NA
Mfap2	NA	0.018	NA
Mfap3	NA	0.056	NA
Mfap3l	NA	0.026	NA
Mfap4	NA	0.003	NA
Mff	NA	0.112	NA
Mfge8	NA	0.113	NA
Mfhas1	NA	0.041	NA
Mfi2	NA	0.002	NA
Mfn1	NA	0.113	NA
Mfn2	NA	0.067	NA
Mfng	NA	0.004	NA
Mfsd1	NA	0.029	NA
Mfsd10	NA	0.085	NA
Mfsd11	NA	0.072	NA
Mfsd12	NA	0.019	NA
Mfsd2a	NA	0.032	NA
Mfsd2b	NA	0.003	NA
Mfsd3	NA	0.009	NA
Mfsd4	NA	0.164	NA
Mfsd5	NA	0.023	NA
Mfsd6	NA	0.103	NA
Mfsd7a	NA	0.002	NA
Mfsd7b	NA	0.03	NA
Mfsd7c	NA	0.003	NA
Mfsd8	NA	0.031	NA
Mfsd9	NA	0.004	NA
Mga	NA	0.17	NA
Mgat1	NA	0.031	NA
Mgat2	NA	0.036	NA
Mgat3	NA	0.031	NA
Mgat4a	NA	0.031	NA
Mgat4b	NA	0.033	NA
Mgat4c	NA	0.039	NA
Mgat5	NA	0.013	NA
Mgat5b	NA	0.037	NA
Mgea5	NA	0.157	NA
Mgll	NA	0.109	NA
Mgme1	NA	0.014	NA
Mgmt	NA	0.001	NA
Mgp	NA	0.03	NA
Mgrn1	NA	0.079	NA
Mgst1	NA	0.015	NA
Mgst2	NA	0	NA
Mgst3	NA	0.051	NA
Mia	NA	0.004	NA
Mia3	NA	0.214	NA
Miat	NA	0.507	NA
Mib1	NA	0.105	NA
Mib2	NA	0.106	NA
Mical1	NA	0.013	NA
Mical2	NA	0.287	NA
Mical3	NA	0.162	NA
Micalcl	NA	0.006	NA
Micall1	NA	0.03	NA
Micall2	NA	0.004	NA
Micu1	NA	0.064	NA
Micu2	NA	0.044	NA
Micu3	NA	0.151	NA
Mid1	NA	0.002	NA
Mid1ip1	NA	0.035	NA
Mid2	NA	0.015	NA
Midn	NA	0.039	NA
Mief1	NA	0.021	NA
Mief2	NA	0.023	NA
Mien1	NA	0.039	NA
Mier1	NA	0.15	NA
Mier2	NA	0.046	NA
Mier3	NA	0.055	NA
Mif	NA	0.096	NA
Mif4gd	NA	0.022	NA
Miip	NA	0.099	NA
Mill2	NA	0	NA
Milr1	NA	0.001	NA
MIMT1_1	NA	0.004	NA
Mina	NA	0.032	NA
Mink1	NA	0.092	NA
Minos1	NA	0.115	NA
Minpp1	NA	0.054	NA
Mios	NA	0.06	NA
Mipep	NA	0.014	NA
Mipol1	NA	0.016	NA
Mir1188	NA	0.001	NA
Mir1192	NA	0.001	NA
Mir125b-1	NA	0	NA
Mir125b-2	NA	0.001	NA
Mir127	NA	0.009	NA
Mir128-1	NA	0.001	NA
Mir143hg	NA	0.005	NA
Mir153	NA	0.002	NA
Mir17hg	NA	0.002	NA
Mir186	NA	0.007	NA
Mir190	NA	0.001	NA
Mir1931	NA	0.006	NA
Mir1946b	NA	0.001	NA
Mir1949	NA	0.005	NA
Mir1970	NA	0.001	NA
Mir218-1	NA	0.001	NA
Mir219-2	NA	0.003	NA
Mir22hg	NA	0.086	NA
Mir3082	NA	0.014	NA
Mir3091	NA	0.001	NA
Mir3098	NA	0.001	NA
Mir32	NA	0.001	NA
Mir341	NA	0.004	NA
Mir344c	NA	0.001	NA
Mir3473d	NA	0.001	NA
Mir3475	NA	0	NA
Mir374	NA	0.001	NA
Mir384	NA	0.002	NA
Mir421	NA	0.001	NA
Mir425	NA	0.001	NA
Mir431	NA	0.001	NA
Mir433	NA	0.001	NA
Mir491	NA	0.001	NA
Mir496	NA	0.001	NA
Mir5119	NA	0.003	NA
Mir5125	NA	0.005	NA
Mir5128	NA	0.009	NA
Mir5133	NA	0.001	NA
Mir5136	NA	0.012	NA
Mir541	NA	0.001	NA
Mir682	NA	0.002	NA
Mir690	NA	0	NA
Mir692-1	NA	0.012	NA
Mir744	NA	0.001	NA
Mir764	NA	0.001	NA
Mir873	NA	0.002	NA
Mirg	NA	0.157	NA
Mirlet7b	NA	0.013	NA
Mis12	NA	0.015	NA
Mis18a	NA	0.012	NA
Mis18bp1	NA	0.004	NA
Misp	NA	0.001	NA
Mitd1	NA	0.046	NA
Mitf	NA	0.017	NA
Mki67	NA	0.003	NA
Mki67ip	NA	0.02	NA
Mkks	NA	0.048	NA
Mkl1	NA	0.035	NA
Mkl2	NA	0.186	NA
Mkln1	NA	0.164	NA
Mkln1os	NA	0.014	NA
Mknk1	NA	0.041	NA
Mknk2	NA	0.03	NA
Mkrn1	NA	0.063	NA
Mkrn2	NA	0.03	NA
Mkrn3	NA	0.001	NA
Mks1	NA	0.021	NA
Mkx	NA	0.084	NA
Mlc1	NA	0.062	NA
Mlec	NA	0.086	NA
Mlf1	NA	0.002	NA
Mlf1ip	NA	0.01	NA
Mlf2	NA	0.161	NA
Mlh1	NA	0.037	NA
Mlh3	NA	0.052	NA
Mlip	NA	0.03	NA
Mlkl	NA	0	NA
Mllt1	NA	0.014	NA
Mllt10	NA	0.138	NA
Mllt11	NA	0.103	NA
Mllt3	NA	0.077	NA
Mllt4	NA	0.258	NA
Mllt6	NA	0.085	NA
Mlph	NA	0.002	NA
Mlst8	NA	0.023	NA
Mlx	NA	0.071	NA
Mlxip	NA	0.041	NA
Mlxipl	NA	0.012	NA
Mlycd	NA	0.024	NA
Mmaa	NA	0.055	NA
Mmab	NA	0.02	NA
Mmachc	NA	0.004	NA
Mmadhc	NA	0.03	NA
Mmd	NA	0.08	NA
Mmd2	NA	0.122	NA
Mme	NA	0.003	NA
